Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Sara Lee Onion Bagel,1 ea,270,1.5g,52g,0g,2g,0g,6g,0mg,9g,400mg,"Vegan, Soy, Sesame, Vegetarian, Halal"
Sara Lee Plain Bagel,1 ea,260,1.5g,51g,0g,2g,0g,6g,0mg,9g,430mg,"Vegan, Soy, Sesame, Vegetarian, Halal"
Sliced White Bread,1 ea,71,1g,14.2g,0g,0g,0g,1g,0mg,2g,136.7mg,"Vegan, Soy, Vegetarian, Halal"
Sourdough English Muffin,1 ea,140,1g,28g,0g,1g,0g,1g,0mg,5g,240mg,"Vegetarian, Soy, Milk, Halal"
Udi's Gluten Free Cinnamon Raisin Bread,2 ea,140,3g,24g,0g,1g,0g,7g,0mg,4g,220mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Udi's Gluten Free Multigrain Bread,1 ea,139,5g,22.8g,0g,1g,0g,3g,0mg,2g,257.9mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Udi's Whole Grain Gluten Free Bread,1 ea,69,2g,10.9g,0g,0.5g,0g,1.5g,0mg,1.5g,133.9mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Wild Rice Cake,1 ea,72,0g,15.4g,0g,1g,0g,0g,0mg,1g,56.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
2% Lactose Free Milk,8 ozl,158,8.9g,12.8g,4.9g,0g,0g,11.9g,34.6mg,7.9g,123.4mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Apple Juice,8 ozl,113,0g,27.4g,0g,0g,0g,24.6g,0mg,0g,38.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Califia Gluten Free Oatmilk,8 ozl,142,8.5g,17g,0.9g,0.9g,0g,6.6g,0mg,1.9g,99.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Califia Original Almond Milk,8 ozl,60,3.5g,6g,0g,1g,0g,5g,0mg,1g,160mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Chai Tea Concentrate,2 ozl,46,0g,10.9g,0g,0g,0g,10.9g,0mg,0g,0mg,"Vegetarian, Gluten Friendly, Alcohol, Halal"
Cranberry Juice,8 ozl,120,0g,31g,0g,0g,0g,29g,0mg,0g,61.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Dr. Pepper,8 ozl,94,0g,26.2g,0g,0g,0g,25.5g,0mg,0g,36.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Hot Chocolate,8 ozl,119,2g,24.6g,1.9g,0.7g,0g,21.3g,0mg,0.7g,142.7mg,"Vegetarian, Milk, Tree Nut, Halal"
Lemonade,8 ozl,101,0g,26.9g,0g,0g,0g,26.9g,0mg,0g,106.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Lime Bubly,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,46.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Lipton Unsweetened Black Iced Tea,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,5.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Mountain Dew,8 ozl,114,0g,29.5g,0g,0g,0g,29.5g,0mg,0g,39.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Nonfat Milk,8 ozl,83,0.2g,12.1g,0.1g,0g,0g,12.1g,4.9mg,8.3g,102.8mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Orange Bubly,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,46.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Orange Crush,8 ozl,107,0g,29.5g,0g,0g,0g,28.9g,0mg,0g,36.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Orange Juice,8 oz,118,0g,27.6g,0g,1g,0g,21.7g,0mg,2g,35.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
